Network,Label
AvisoCovidEdomex,Fragmented
BuenFinSeguro,Fragmented
CovidDerrotaAPuebla,OutWard Hub and Spoke
DiaInternacionalDelHombre,Clustered
Fakeministas,Clustered
FelizLunes,Clustered
JusticeForJohnnyDepp,Clustered
OfrendaEdomex,Clustered
Temblor,Clustered
Best Buy Liquidacion,Clustered
Best Buy,Clustered
Bloomberg,Clustered
DiaDeMuertos,Clustered
Dinamarca,Clustered
Greta,Clustered
Halloween,Clustered
Pfizer,Clustered
Viena,Clustered
GoPackGo,OutWard Hub and Spoke
HalaMadrid,Clustered
ImolaGP,Clustered
SerieMundial,Clustered
Xavi,Clustered
Checo,Clustered
Chivas,Clustered
Cruz Azul,Clustered
Europa League,Clustered
HereWeGo,Clustered
Manchester United,Clustered
Pumas,Clustered
Ravens,Clustered
Rayados,OutWard Hub and Spoke
Worlds2020,Clustered
1MTrajeados,OutWard Hub and Spoke
ARMY,OutWard Hub and Spoke
Confetti,OutWard Hub and Spoke
FelizMartes,OutWard Hub and Spoke
FelizMiercoles,Clustered
Fortnite,Clustered
HappyAuronDay,Clustered
LordMontajes,Clustered
MasterChefMx,Clustered
NiallHoran,Clustered
POSITIONS,Clustered
TheMandalorian,Clustered
WonderAtMidnight,OutWard Hub and Spoke
XSXFridgeSweeps,Fragmented
Bob Esponja,Clustered
Coco,Clustered
KAROL,Clustered
Maluma,Clustered
SpotifyWrapped,Clustered
SystemofaDown,Clustered
Yakult,Clustered
AMLOLujoDePresidente,Clustered
AntorchaAyudaATabasco,Clustered
ByeByeTrump,Clustered
CuidemosTodosDeTodos,Clustered
Elecciones2020,Clustered
JusticiaParaAlexis,Clustered
LaBrujaDelPalacio,Clustered
MatriomonioIgualitarioPuebla,Clustered
RatitaNoEstasSolo,OutWard Hub and Spoke
SalarioRosa2,Clustered
SiguesTuLopez,Clustered
SoloLasMujeresMenstruan,Clustered
TarjetaRosa,Fragmented
TrumpvsBiden,Clustered
UnPeligroParaMexico,Clustered
nosfaltajorge,Clustered
Brozo,Clustered
Censura,Clustered
Chile,Clustered
FONDEN,Clustered
Trump,Clustered
