Network,0,1,2,3,4
#1MTrajeados,0.8349771469809959,0.04161655039692086,0.10873225884050998,0.008178975222516238,0.006495068559057012
#AMLOLujoDePresidente,0.7001278772378516,0.1293158567774936,0.149616368286445,0.01198849104859335,0.008951406649616368
#ARMY,0.9343244068832095,0.02403013949699623,0.021891864372263516,0.011098666123612667,0.008654923123918135
#AntorchaAyudaATabasco,0.6000928936367859,0.2856479331165815,0.09939619136089178,0.007895959126799815,0.006967022758941012
#AvisoCovidEdomex,0.8998911860718172,0.014145810663764961,0.037431991294885746,0.026332970620239392,0.02219804134929271
#BuenFinSeguro,0.8674091752850702,0.012463537523203394,0.07663749668522939,0.02439671174754707,0.01909307875894988
#ByeByeTrump,0.6277590134317806,0.06354567590919802,0.1645589505930406,0.08106197470740711,0.06307438535857356
#Confetti,0.8078262651096086,0.07785289899610735,0.0958819913952059,0.009629174349518542,0.008809670149559516
#CovidDerrotaAPuebla,0.8961325966850828,0.06740331491712707,0.02430939226519337,0.0066298342541436465,0.0055248618784530384
#CuidemosTodosDeTodos,0.9400714532672583,0.01394491183588798,0.02431716030886251,0.012100956551803618,0.009565518036187623
#DiaInternacionalDelHombre,0.5487746734051683,0.035758558214932776,0.2778678363688376,0.07895489653857156,0.058644035472489746
#Elecciones2020,0.6562378167641325,0.06666666666666667,0.18440545808966863,0.05341130604288499,0.03927875243664718
#Fakeministas,0.8832256938383662,0.05166695758422063,0.05742712515273172,0.004014662244719846,0.003665561179961599
#FelizLunes,0.4082708441606652,0.038607172024649195,0.4286880985967778,0.07283391491573242,0.05159997030217536
#FelizMartes,0.9708264390838631,0.007663502569015066,0.016894539754419576,0.0026125576939824086,0.0020029608987198466
#FelizMiercoles,0.3879919648835652,0.0400267837214493,0.43508667509857896,0.08057436202663493,0.056320214269771594
#Fortnite,0.584181986509721,0.06321915090596482,0.18542520830577966,0.0973416214786404,0.0698320327998942
#GoPackGo,0.8926137612662124,0.03121565179160255,0.05143987689602111,0.013739283358979995,0.010991426687183996
#HalaMadrid,0.8953343053530515,0.020204124140804,0.04686523640908144,0.02082899395959175,0.01676734013747136
#HappyAuronDay,0.7950227963525835,0.05148176291793313,0.14038753799392098,0.007218844984802432,0.005889057750759878
