Network,Label
AvisoCovidEdomex,Fragmented
BuenFinSeguro,Fragmented
CovidDerrotaAPuebla,OutWard Hub and Spoke
DiaInternacionalDelHombre,Clustered
Fakeministas,Clustered
FelizLunes,Clustered
JusticeForJohnnyDepp,Clustered
OfrendaEdomex,Clustered
Temblor,Clustered
Best Buy Liquidacion,Clustered
Best Buy,Clustered
Bloomberg,Clustered
DiaDeMuertos,Clustered
Dinamarca,Clustered
Greta,Clustered
Halloween,Clustered
Pfizer,Clustered
Viena,Clustered
GoPackGo,OutWard Hub and Spoke
HalaMadrid,Clustered
ImolaGP,Clustered
SerieMundial,Clustered
Xavi,Clustered
Checo,Clustered
Chivas,Clustered
Cruz Azul,Clustered
Europa League,Clustered
HereWeGo,Clustered
Manchester United,Clustered
Pumas,Clustered
Ravens,Clustered
Rayados,OutWard Hub and Spoke
Worlds2020,Clustered
1MTrajeados,OutWard Hub and Spoke
ARMY,OutWard Hub and Spoke
Confetti,OutWard Hub and Spoke
FelizMartes,OutWard Hub and Spoke
FelizMiercoles,Clustered
Fortnite,Clustered
HappyAuronDay,Clustered
